age	Surface_temperature
166	0.473239437
167	0.471126761
168	0.469014085
169	0.466901408
170	0.464788732
171	0.46971831
172	0.474647887
173	0.479577465
174	0.484507042
175	0.48943662
176	0.494366197
177	0.499295775
178	0.504225352
179	0.50915493
180	0.514084507
181	0.517605634
182	0.521126761
183	0.524647887
184	0.528169014
185	0.531690141
186	0.535211268
187	0.538732394
188	0.542253521
189	0.545774648
190	0.549295775
191	0.567605634
192	0.585915493
193	0.604225352
194	0.622535211
195	0.64084507
196	0.65915493
197	0.677464789
198	0.695774648
199	0.714084507
200	0.732394366
201	0.741549296
202	0.750704225
203	0.759859155
204	0.769014085
205	0.778169014
206	0.787323944
207	0.796478873
208	0.805633803
209	0.814788732
210	0.823943662
211	0.827464789
212	0.830985915
213	0.834507042
214	0.838028169
215	0.841549296
216	0.845070423
217	0.848591549
218	0.852112676
219	0.855633803
220	0.85915493
221	0.861971831
222	0.864788732
223	0.867605634
224	0.870422535
225	0.873239437
226	0.876056338
227	0.878873239
228	0.881690141
229	0.884507042
230	0.887323944
231	0.890140845
232	0.892957746
233	0.895774648
234	0.898591549
235	0.901408451
236	0.904225352
237	0.907042254
238	0.909859155
239	0.912676056
240	0.915492958
241	0.917605634
242	0.91971831
243	0.921830986
244	0.923943662
245	0.926056338
246	0.928169014
247	0.93028169
248	0.932394366
249	0.934507042
250	0.936619718
251	0.909859155
252	0.883098592
253	0.856338028
254	0.829577465
255	0.802816901
256	0.776056338
257	0.749295775
258	0.722535211
259	0.695774648
260	0.669014085
261	0.649295775
262	0.629577465
263	0.609859155
264	0.590140845
265	0.570422535
266	0.550704225
267	0.530985915
268	0.511267606
269	0.491549296
270	0.471830986
271	0.443661972
272	0.415492958
273	0.387323944
274	0.35915493
275	0.330985915
276	0.302816901
277	0.274647887
278	0.246478873
279	0.218309859
280	0.190140845
281	0.171126761
282	0.152112676
283	0.133098592
284	0.114084507
285	0.095070423
286	0.076056338
287	0.057042254
288	0.038028169
289	0.019014085
290	0
291	0.023239437
292	0.046478873
293	0.06971831
294	0.092957746
295	0.116197183
296	0.13943662
297	0.162676056
298	0.185915493
299	0.20915493
300	0.232394366
301	0.216197183
302	0.2
303	0.183802817
304	0.167605634
305	0.151408451
306	0.135211268
307	0.119014085
308	0.102816901
309	0.086619718
310	0.070422535
311	0.098591549
312	0.126760563
313	0.154929577
314	0.183098592
315	0.211267606
316	0.23943662
317	0.267605634
318	0.295774648
319	0.323943662
320	0.352112676
321	0.364084507
322	0.376056338
323	0.388028169
324	0.4
325	0.411971831
326	0.423943662
327	0.435915493
328	0.447887324
329	0.459859155
330	0.471830986
331	0.478873239
332	0.485915493
333	0.492957746
334	0.5
335	0.507042254
336	0.514084507
337	0.521126761
338	0.528169014
339	0.535211268
340	0.542253521
341	0.53943662
342	0.536619718
343	0.533802817
344	0.530985915
345	0.528169014
346	0.525352113
347	0.522535211
348	0.51971831
349	0.516901408
350	0.514084507
351	0.521126761
352	0.528169014
353	0.535211268
354	0.542253521
355	0.549295775
356	0.556338028
357	0.563380282
358	0.570422535
359	0.577464789
360	0.584507042
361	0.599295775
362	0.614084507
363	0.628873239
364	0.643661972
365	0.658450704
366	0.673239437
367	0.688028169
368	0.702816901
369	0.717605634
370	0.732394366
371	0.747887324
372	0.763380282
373	0.778873239
374	0.794366197
375	0.809859155
376	0.825352113
377	0.84084507
378	0.856338028
379	0.871830986
380	0.887323944
381	0.887323944
382	0.887323944
383	0.887323944
384	0.887323944
385	0.887323944
386	0.887323944
387	0.887323944
388	0.887323944
389	0.887323944
390	0.887323944
391	0.872535211
392	0.857746479
393	0.842957746
394	0.828169014
395	0.813380282
396	0.798591549
397	0.783802817
398	0.769014085
399	0.754225352
400	0.73943662
401	0.730985915
402	0.722535211
403	0.714084507
404	0.705633803
405	0.697183099
406	0.688732394
407	0.68028169
408	0.671830986
409	0.663380282
410	0.654929577
411	0.651408451
412	0.647887324
413	0.644366197
414	0.64084507
415	0.637323944
416	0.633802817
417	0.63028169
418	0.626760563
419	0.623239437
420	0.61971831
421	0.619014085
422	0.618309859
423	0.617605634
424	0.616901408
425	0.616197183
426	0.615492958
427	0.614788732
428	0.614084507
429	0.613380282
430	0.612676056
431	0.592957746
432	0.573239437
433	0.553521127
434	0.533802817
435	0.514084507
436	0.494366197
437	0.474647887
438	0.454929577
439	0.435211268
440	0.415492958
441	0.421126761
442	0.426760563
443	0.432394366
444	0.438028169
445	0.443661972
446	0.449295775
447	0.454929577
448	0.46056338
449	0.466197183
450	0.471830986
451	0.506338028
452	0.54084507
453	0.575352113
454	0.609859155
455	0.644366197
456	0.678873239
457	0.713380282
458	0.747887324
459	0.782394366
460	0.816901408
461	0.833802817
462	0.850704225
463	0.867605634
464	0.884507042
465	0.901408451
466	0.918309859
467	0.935211268
468	0.952112676
469	0.969014085
470	0.985915493
471	0.987323944
472	0.988732394
473	0.990140845
474	0.991549296
475	0.992957746
476	0.994366197
477	0.995774648
478	0.997183099
479	0.998591549
480	1
481	0.997183099
482	0.994366197
483	0.991549296
484	0.988732394
485	0.985915493
486	0.983098592
487	0.98028169
488	0.977464789
489	0.974647887
490	0.971830986
491	0.96971831
492	0.967605634
493	0.965492958
494	0.963380282
495	0.961267606
496	0.95915493
497	0.957042254
498	0.954929577
499	0.952816901
500	0.950704225
501	0.95
502	0.949295775
503	0.948591549
504	0.947887324
505	0.947183099
506	0.946478873
